phase	wall_ms_max	gpu_active_ms_max	gpu_sum_ms_max	comm_ms_max	comm_sum_ms_max	comm_count_max	comm_frac_of_wall_pct
backward.total_loss	309.784	262.790	289.536	232.576	232.576	46	75.1
target_forward_input_cache	298.770	297.332	297.332	293.607	293.607	1	98.3
ppgd_warmup.PersistentPGDReconLoss.0.forward_loss	158.084	9.226	9.226	0.000	0.000	0	0.0
loss.PersistentPGDReconLoss	84.700	8.996	8.996	0.000	0.000	0	0.0
ci_forward	35.959	11.170	11.170	0.000	0.000	0	0.0
loss.StochasticReconSubsetLoss	33.350	9.328	9.328	0.000	0.000	0	0.0
ppgd_warmup.PersistentPGDReconLoss.1.forward_loss	29.045	9.005	9.005	0.000	0.000	0	0.0
ppgd_warmup.PersistentPGDReconLoss.1.source_grads	28.816	8.938	8.938	0.000	0.000	0	0.0
ppgd_warmup.PersistentPGDReconLoss.0.source_grads	26.718	8.972	8.972	0.000	0.000	0	0.0
ppgd_final_grads.PersistentPGDReconLoss	23.925	8.922	8.922	0.000	0.000	0	0.0
optimizer.step	14.675	12.877	12.877	0.000	0.000	0	0.0
loss.ImportanceMinimalityLoss	5.725	1.024	1.024	0.000	0.000	0	0.0
weight_deltas	4.972	3.746	3.746	0.000	0.000	0	0.0
ppgd_warmup.PersistentPGDReconLoss.1.source_step	4.971	2.257	2.257	0.000	0.000	0	0.0
ppgd_warmup.PersistentPGDReconLoss.0.source_step	4.368	2.261	2.261	0.000	0.000	0	0.0
ppgd.update_lr	3.601	0.000	0.000	0.000	0.000	0	0.0
ppgd_final_step.PersistentPGDReconLoss	3.223	2.258	2.258	0.000	0.000	0	0.0
loss.FaithfulnessLoss	2.691	0.287	0.287	0.000	0.000	0	0.0
ci_l_zero	2.126	0.679	0.679	0.000	0.000	0	0.0
pre_optimizer_barrier	2.062	1.663	1.663	1.662	1.662	1	80.6
optimizer.zero_grad	1.778	0.000	0.000	0.000	0.000	0	0.0
grad_clip.components	1.494	0.436	0.436	0.000	0.000	0	0.0
total_loss	0.555	0.025	0.025	0.000	0.000	0	0.0
data.to_device	0.386	0.002	0.002	0.000	0.000	0	0.0
lr_schedule	0.316	0.000	0.000	0.000	0.000	0	0.0
data.next	0.286	0.000	0.000	0.000	0.000	0	0.0
