phase	wall_ms_max	gpu_active_ms_max	gpu_sum_ms_max	comm_ms_max	comm_sum_ms_max	comm_count_max	comm_frac_of_wall_pct
backward.total_loss	223.283	166.328	187.052	147.250	147.250	46	65.9
target_forward_input_cache	198.822	197.589	197.589	195.387	195.387	1	98.3
ppgd_warmup.PersistentPGDReconLoss.0.forward_loss	78.072	5.498	5.498	0.000	0.000	0	0.0
loss.PersistentPGDReconLoss	56.465	5.243	5.243	0.000	0.000	0	0.0
ppgd_warmup.PersistentPGDReconLoss.1.forward_loss	29.276	5.246	5.246	0.000	0.000	0	0.0
ppgd_warmup.PersistentPGDReconLoss.1.source_grads	26.697	5.426	5.426	0.000	0.000	0	0.0
loss.StochasticReconSubsetLoss	26.545	5.488	5.488	0.000	0.000	0	0.0
ppgd_warmup.PersistentPGDReconLoss.0.source_grads	26.463	5.431	5.431	0.000	0.000	0	0.0
ppgd_final_grads.PersistentPGDReconLoss	23.820	5.391	5.391	0.000	0.000	0	0.0
ci_forward	20.562	6.920	6.920	0.000	0.000	0	0.0
optimizer.step	14.303	12.847	12.847	0.000	0.000	0	0.0
weight_deltas	4.852	3.753	3.753	0.000	0.000	0	0.0
loss.ImportanceMinimalityLoss	4.385	0.806	0.806	0.000	0.000	0	0.0
ppgd_warmup.PersistentPGDReconLoss.0.source_step	3.578	1.292	1.292	0.000	0.000	0	0.0
ppgd_final_step.PersistentPGDReconLoss	3.179	1.298	1.298	0.000	0.000	0	0.0
ppgd_warmup.PersistentPGDReconLoss.1.source_step	3.092	1.296	1.296	0.000	0.000	0	0.0
ci_l_zero	2.021	0.500	0.500	0.000	0.000	0	0.0
loss.FaithfulnessLoss	1.983	0.287	0.287	0.000	0.000	0	0.0
pre_optimizer_barrier	1.519	1.152	1.152	1.151	1.151	1	75.8
grad_clip.components	1.203	0.437	0.437	0.000	0.000	0	0.0
optimizer.zero_grad	0.900	0.000	0.000	0.000	0.000	0	0.0
total_loss	0.558	0.024	0.024	0.000	0.000	0	0.0
data.to_device	0.347	0.003	0.003	0.000	0.000	0	0.0
lr_schedule	0.316	0.000	0.000	0.000	0.000	0	0.0
data.next	0.285	0.000	0.000	0.000	0.000	0	0.0
ppgd.update_lr	0.281	0.000	0.000	0.000	0.000	0	0.0
