phase	wall_ms_max	gpu_active_ms_max	gpu_sum_ms_max	comm_ms_max	comm_sum_ms_max	comm_count_max	comm_frac_of_wall_pct
backward.total_loss	227.471	180.730	207.411	150.686	150.686	46	66.2
ppgd_warmup.PersistentPGDReconLoss.0.forward_loss	156.903	9.256	9.256	0.000	0.000	0	0.0
loss.PersistentPGDReconLoss	74.568	9.022	9.022	0.000	0.000	0	0.0
target_forward_input_cache	50.406	49.038	49.038	45.299	45.299	1	89.9
ppgd_warmup.PersistentPGDReconLoss.1.source_grads	38.534	8.980	8.980	0.000	0.000	0	0.0
ppgd_warmup.PersistentPGDReconLoss.0.source_grads	37.643	8.983	8.983	0.000	0.000	0	0.0
ci_forward	35.776	11.207	11.207	0.000	0.000	0	0.0
ppgd_warmup.PersistentPGDReconLoss.1.forward_loss	30.311	9.039	9.039	0.000	0.000	0	0.0
loss.StochasticReconSubsetLoss	27.509	9.364	9.364	0.000	0.000	0	0.0
ppgd_final_grads.PersistentPGDReconLoss	23.165	8.947	8.947	0.000	0.000	0	0.0
optimizer.step	14.277	12.867	12.867	0.000	0.000	0	0.0
weight_deltas	5.070	3.749	3.749	0.000	0.000	0	0.0
loss.ImportanceMinimalityLoss	4.500	1.033	1.033	0.000	0.000	0	0.0
ppgd_final_step.PersistentPGDReconLoss	3.785	2.273	2.273	0.000	0.000	0	0.0
ppgd_warmup.PersistentPGDReconLoss.0.source_step	3.736	2.266	2.266	0.000	0.000	0	0.0
ppgd_warmup.PersistentPGDReconLoss.1.source_step	3.189	2.261	2.261	0.000	0.000	0	0.0
ci_l_zero	2.487	0.677	0.677	0.000	0.000	0	0.0
loss.FaithfulnessLoss	2.024	0.287	0.287	0.000	0.000	0	0.0
optimizer.zero_grad	1.297	0.000	0.000	0.000	0.000	0	0.0
grad_clip.components	1.296	0.438	0.438	0.000	0.000	0	0.0
pre_optimizer_barrier	1.252	0.795	0.795	0.793	0.793	1	63.4
total_loss	0.626	0.024	0.024	0.000	0.000	0	0.0
data.to_device	0.603	0.002	0.002	0.000	0.000	0	0.0
lr_schedule	0.592	0.000	0.000	0.000	0.000	0	0.0
data.next	0.573	0.000	0.000	0.000	0.000	0	0.0
ppgd.update_lr	0.543	0.000	0.000	0.000	0.000	0	0.0
