phase	wall_ms_max	gpu_active_ms_max	gpu_sum_ms_max	comm_ms_max	comm_sum_ms_max	comm_count_max	comm_frac_of_wall_pct
ppgd_warmup.PersistentPGDReconLoss.0.forward_loss	806.201	16.856	16.856	0.000	0.000	0	0.0
backward.total_loss	273.428	247.658	287.048	193.998	193.998	46	71.0
loss.PersistentPGDReconLoss	253.651	16.569	16.569	0.000	0.000	0	0.0
ppgd_warmup.PersistentPGDReconLoss.1.forward_loss	200.822	16.576	16.576	0.000	0.000	0	0.0
target_forward_input_cache	159.125	157.806	157.806	150.871	150.871	1	94.8
ci_forward	136.803	19.839	19.839	0.000	0.000	0	0.0
loss.StochasticReconSubsetLoss	34.178	17.205	17.205	0.000	0.000	0	0.0
ppgd_warmup.PersistentPGDReconLoss.0.source_grads	24.316	16.589	16.589	0.000	0.000	0	0.0
ppgd_warmup.PersistentPGDReconLoss.1.source_grads	23.902	16.574	16.574	0.000	0.000	0	0.0
ppgd_final_grads.PersistentPGDReconLoss	23.642	16.576	16.576	0.000	0.000	0	0.0
optimizer.step	14.116	12.841	12.841	0.000	0.000	0	0.0
ppgd_warmup.PersistentPGDReconLoss.0.source_step	5.724	4.479	4.479	0.000	0.000	0	0.0
ppgd_final_step.PersistentPGDReconLoss	5.306	4.483	4.483	0.000	0.000	0	0.0
ppgd_warmup.PersistentPGDReconLoss.1.source_step	5.292	4.470	4.470	0.000	0.000	0	0.0
weight_deltas	4.766	3.734	3.734	0.000	0.000	0	0.0
loss.ImportanceMinimalityLoss	4.342	1.561	1.561	0.000	0.000	0	0.0
ci_l_zero	2.290	1.070	1.070	0.000	0.000	0	0.0
loss.FaithfulnessLoss	2.021	0.287	0.287	0.000	0.000	0	0.0
pre_optimizer_barrier	1.603	1.203	1.203	1.202	1.202	1	75.0
grad_clip.components	1.133	0.431	0.431	0.000	0.000	0	0.0
optimizer.zero_grad	0.782	0.000	0.000	0.000	0.000	0	0.0
total_loss	0.535	0.024	0.024	0.000	0.000	0	0.0
data.to_device	0.332	0.004	0.004	0.000	0.000	0	0.0
lr_schedule	0.297	0.000	0.000	0.000	0.000	0	0.0
data.next	0.278	0.000	0.000	0.000	0.000	0	0.0
ppgd.update_lr	0.275	0.000	0.000	0.000	0.000	0	0.0
