phase	wall_ms_max	gpu_active_ms_max	gpu_sum_ms_max	comm_ms_max	comm_sum_ms_max	comm_count_max	comm_frac_of_wall_pct
backward.total_loss	215.897	163.414	183.889	144.483	144.483	46	66.9
ppgd_warmup.PersistentPGDReconLoss.0.forward_loss	78.160	5.469	5.469	0.000	0.000	0	0.0
target_forward_input_cache	78.010	76.736	76.736	74.527	74.527	1	95.5
loss.PersistentPGDReconLoss	52.548	5.212	5.212	0.000	0.000	0	0.0
ppgd_warmup.PersistentPGDReconLoss.1.source_grads	30.683	5.380	5.380	0.000	0.000	0	0.0
ppgd_warmup.PersistentPGDReconLoss.1.forward_loss	27.121	5.212	5.212	0.000	0.000	0	0.0
ppgd_warmup.PersistentPGDReconLoss.0.source_grads	26.181	5.389	5.389	0.000	0.000	0	0.0
ppgd_final_grads.PersistentPGDReconLoss	23.790	5.363	5.363	0.000	0.000	0	0.0
loss.StochasticReconSubsetLoss	23.644	5.466	5.466	0.000	0.000	0	0.0
ci_forward	20.505	6.910	6.910	0.000	0.000	0	0.0
optimizer.step	14.549	12.855	12.855	0.000	0.000	0	0.0
ci_l_zero	6.224	0.495	0.495	0.000	0.000	0	0.0
weight_deltas	6.213	3.740	3.740	0.000	0.000	0	0.0
pre_optimizer_barrier	6.128	5.652	5.652	5.651	5.651	1	92.2
loss.ImportanceMinimalityLoss	5.109	0.795	0.795	0.000	0.000	0	0.0
ppgd_warmup.PersistentPGDReconLoss.1.source_step	4.721	1.289	1.289	0.000	0.000	0	0.0
ppgd_warmup.PersistentPGDReconLoss.0.source_step	3.712	1.292	1.292	0.000	0.000	0	0.0
ppgd_final_step.PersistentPGDReconLoss	3.331	1.295	1.295	0.000	0.000	0	0.0
loss.FaithfulnessLoss	2.173	0.298	0.298	0.000	0.000	0	0.0
grad_clip.components	1.657	0.436	0.436	0.000	0.000	0	0.0
optimizer.zero_grad	1.598	0.000	0.000	0.000	0.000	0	0.0
lr_schedule	0.993	0.000	0.000	0.000	0.000	0	0.0
ppgd.update_lr	0.959	0.000	0.000	0.000	0.000	0	0.0
total_loss	0.689	0.024	0.024	0.000	0.000	0	0.0
data.to_device	0.430	0.002	0.002	0.000	0.000	0	0.0
data.next	0.405	0.000	0.000	0.000	0.000	0	0.0
